Group: aopalliance | Artifact: aopalliance | Version: 1.0
Group: ch.qos.logback | Artifact: logback-classic | Version: 1.2.5
Group: ch.qos.logback | Artifact: logback-classic | Version: 1.4.14
Group: ch.qos.logback | Artifact: logback-classic | Version: 1.4.8
Group: ch.qos.logback | Artifact: logback-classic | Version: 1.5.22
Group: ch.qos.logback | Artifact: logback-core | Version: 1.2.5
Group: ch.qos.logback | Artifact: logback-core | Version: 1.4.14
Group: ch.qos.logback | Artifact: logback-core | Version: 1.4.8
Group: ch.qos.logback | Artifact: logback-core | Version: 1.5.22
Group: classworlds | Artifact: classworlds | Version: 1.1
Group: classworlds | Artifact: classworlds | Version: 1.1-alpha-2
Group: com.bucket4j | Artifact: bucket4j-core | Version: 8.10.1
Group: com.bucket4j | Artifact: bucket4j-core | Version: 8.7.0
Group: com.bucket4j | Artifact: bucket4j_jdk17-core | Version: 8.11.1
Group: com.bucket4j | Artifact: bucket4j_jdk17-core | Version: 8.14.0
Group: com.bucket4j | Artifact: bucket4j_jdk17-lettuce | Version: 8.11.1
Group: com.bucket4j | Artifact: bucket4j_jdk17-lettuce | Version: 8.14.0
Group: com.bucket4j | Artifact: bucket4j_jdk17-redis-common | Version: 8.11.1
Group: com.bucket4j | Artifact: bucket4j_jdk17-redis-common | Version: 8.14.0
Group: com.esotericsoftware | Artifact: kryo | Version: 5.5.0
Group: com.esotericsoftware | Artifact: minlog | Version: 1.3.1
Group: com.esotericsoftware | Artifact: reflectasm | Version: 1.11.9
Group: com.example | Artifact: my-spring-boot-microservice | Version: 0.0.1-SNAPSHOT
Group: com.fasterxml | Artifact: classmate | Version: 1.6.0
Group: com.fasterxml.jackson.core | Artifact: jackson-annotations | Version: 2.12.4
Group: com.fasterxml.jackson.core | Artifact: jackson-annotations | Version: 2.14.2
Group: com.fasterxml.jackson.core | Artifact: jackson-annotations | Version: 2.15.2
Group: com.fasterxml.jackson.core | Artifact: jackson-annotations | Version: 2.15.3
Group: com.fasterxml.jackson.core | Artifact: jackson-annotations | Version: 2.15.4
Group: com.fasterxml.jackson.core | Artifact: jackson-annotations | Version: 2.19.4
Group: com.fasterxml.jackson.core | Artifact: jackson-core | Version: 2.12.4
Group: com.fasterxml.jackson.core | Artifact: jackson-core | Version: 2.14.2
Group: com.fasterxml.jackson.core | Artifact: jackson-core | Version: 2.15.2
Group: com.fasterxml.jackson.core | Artifact: jackson-core | Version: 2.15.3
Group: com.fasterxml.jackson.core | Artifact: jackson-core | Version: 2.15.4
Group: com.fasterxml.jackson.core | Artifact: jackson-core | Version: 2.19.4
Group: com.fasterxml.jackson.core | Artifact: jackson-databind | Version: 2.12.4
Group: com.fasterxml.jackson.core | Artifact: jackson-databind | Version: 2.14.2
Group: com.fasterxml.jackson.core | Artifact: jackson-databind | Version: 2.15.2
Group: com.fasterxml.jackson.core | Artifact: jackson-databind | Version: 2.15.3
Group: com.fasterxml.jackson.core | Artifact: jackson-databind | Version: 2.15.4
Group: com.fasterxml.jackson.core | Artifact: jackson-databind | Version: 2.19.4
Group: com.fasterxml.jackson.dataformat | Artifact: jackson-dataformat-toml | Version: 2.15.4
Group: com.fasterxml.jackson.dataformat | Artifact: jackson-dataformat-xml | Version: 2.15.4
Group: com.fasterxml.jackson.dataformat | Artifact: jackson-dataformat-yaml | Version: 2.15.3
Group: com.fasterxml.jackson.dataformat | Artifact: jackson-dataformat-yaml | Version: 2.15.4
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jdk8 | Version: 2.12.4
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jdk8 | Version: 2.15.2
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jdk8 | Version: 2.15.3
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jdk8 | Version: 2.15.4
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jdk8 | Version: 2.19.4
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jsr310 | Version: 2.12.4
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jsr310 | Version: 2.15.2
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jsr310 | Version: 2.15.3
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jsr310 | Version: 2.15.4
Group: com.fasterxml.jackson.datatype | Artifact: jackson-datatype-jsr310 | Version: 2.19.4
Group: com.fasterxml.jackson.module | Artifact: jackson-module-parameter-names | Version: 2.12.4
Group: com.fasterxml.jackson.module | Artifact: jackson-module-parameter-names | Version: 2.14.2
Group: com.fasterxml.jackson.module | Artifact: jackson-module-parameter-names | Version: 2.15.2
Group: com.fasterxml.jackson.module | Artifact: jackson-module-parameter-names | Version: 2.15.3
Group: com.fasterxml.jackson.module | Artifact: jackson-module-parameter-names | Version: 2.15.4
Group: com.fasterxml.jackson.module | Artifact: jackson-module-parameter-names | Version: 2.19.4
Group: com.fasterxml.woodstox | Artifact: woodstox-core | Version: 6.5.1
Group: com.github.danielwegener | Artifact: logback-kafka-appender | Version: 0.2.0-RC2
Group: com.github.luben | Artifact: zstd-jni | Version: 1.5.5-1
Group: com.github.luben | Artifact: zstd-jni | Version: 1.5.5-11
Group: com.google.android | Artifact: annotations | Version: 4.1.1.4
Group: com.google.api | Artifact: api-common | Version: 2.12.0
Group: com.google.api | Artifact: gax | Version: 2.29.0
Group: com.google.api | Artifact: gax-grpc | Version: 2.29.0
Group: com.google.api | Artifact: gax-httpjson | Version: 0.114.0
Group: com.google.api-client | Artifact: google-api-client | Version: 2.2.0
